Future Awareness - Awareness of global agricultural challenges,Perceived Individual Efficiency - Belief in personal impact on sustainability,Perceived Collective Efficiency - Belief in societal changes for sustainability,Advocacy and Career Intentions - Interest in sustainability careers,Tech Orientation - Trust in food production technology,Unwillingness to Change - Resistance to dietary changes,Low Behavioral Activation - Perceived low impact of personal choices,Social Support - Influence of peers on food choices,Influencing Others - Encouraging sustainable choices,Belief About Consequences - Impact of food choices on environment & health,Emotions - Satisfaction and guilt related to sustainable food choices,Food Preparation Skills - Ability to cook sustainable meals,Green Purchase Intention - Commitment to buying sustainable food,Age,Gender
1.1,-1.1,3.0,-3.0,0.1,-0.1,-2.1,-1.4,0.1,0.2,0.3,0.4,0.5,20,Male
3.1,0.8,1.0,-2.7,-0.0,-0.5,2.3,-3.1,-2.1,-1.2,2.5,-0.3,1.3,21,Female
-0.1,0.5,2.2,-3.1,0.4,-2.0,0.2,0.4,-3.0,1.1,0.2,-2.9,1.1,22,Other
-2.2,-3.2,-0.0,2.8,-2.7,-0.2,1.5,-2.6,2.8,1.5,3.0,0.9,-2.1,19,Female
-0.9,0.7,1.5,2.3,-2.9,-2.6,-1.7,-2.5,-0.3,-2.5,-1.9,-2.2,-2.6,21,Male
2.0,2.9,-1.6,2.6,2.7,-2.1,0.2,0.5,-0.9,1.2,1.1,-0.2,2.0,18,Male
-2.4,2.0,2.6,1.9,1.7,1.2,-2.7,-0.7,-1.3,-2.6,-1.4,-0.3,0.4,17,Male
1.2,1.3,-2.0,-0.4,-2.3,1.4,1.5,-2.7,2.3,-1.6,-0.2,1.7,-1.1,23,Male
0.9,1.6,-2.4,3.3,1.6,-0.4,-3.0,-1.3,1.8,2.8,-0.5,-2.8,2.3,20,Male
2.9,2.1,2.1,-1.9,-2.0,-0.6,-0.5,-2.6,3.0,2.5,0.8,3.2,1.1,24,Male
